Voltage,Current,Species,Recording,replicate,Date,Venom,Quality,Set
-75,-0.047607422,Rat,activation,2,Oct_12_16,Yes,Good,5
-70,-0.040893555,Rat,activation,2,Oct_12_16,Yes,Good,5
-65,-0.054321289,Rat,activation,2,Oct_12_16,Yes,Good,5
-60,-0.083312988,Rat,activation,2,Oct_12_16,Yes,Good,5
-55,-0.075378418,Rat,activation,2,Oct_12_16,Yes,Good,5
-50,-0.114746094,Rat,activation,2,Oct_12_16,Yes,Good,5
-45,-0.160827637,Rat,activation,2,Oct_12_16,Yes,Good,5
-40,-0.277404785,Rat,activation,2,Oct_12_16,Yes,Good,5
-35,-0.428466797,Rat,activation,2,Oct_12_16,Yes,Good,5
-30,-0.540161133,Rat,activation,2,Oct_12_16,Yes,Good,5
-25,-0.653381348,Rat,activation,2,Oct_12_16,Yes,Good,5
-20,-0.718383789,Rat,activation,2,Oct_12_16,Yes,Good,5
-15,-0.783996582,Rat,activation,2,Oct_12_16,Yes,Good,5
-10,-0.946655273,Rat,activation,2,Oct_12_16,Yes,Good,5
-5,-1.220397949,Rat,activation,2,Oct_12_16,Yes,Good,5
0,-1.348876953,Rat,activation,2,Oct_12_16,Yes,Good,5
5,-1.365356445,Rat,activation,2,Oct_12_16,Yes,Good,5
10,-1.289672852,Rat,activation,2,Oct_12_16,Yes,Good,5
15,-1.180725098,Rat,activation,2,Oct_12_16,Yes,Good,5
20,-1.062011719,Rat,activation,2,Oct_12_16,Yes,Good,5
25,-0.934143066,Rat,activation,2,Oct_12_16,Yes,Good,5
30,-0.835876465,Rat,activation,2,Oct_12_16,Yes,Good,5
35,-0.789794922,Rat,activation,2,Oct_12_16,Yes,Good,5
40,-0.635070801,Rat,activation,2,Oct_12_16,Yes,Good,5
45,-0.532836914,Rat,activation,2,Oct_12_16,Yes,Good,5
50,-0.40435791,Rat,activation,2,Oct_12_16,Yes,Good,5
55,-0.264587402,Rat,activation,2,Oct_12_16,Yes,Good,5
60,-0.141296387,Rat,activation,2,Oct_12_16,Yes,Good,5
65,-0.036010742,Rat,activation,2,Oct_12_16,Yes,Good,5
70,-0.049438477,Rat,activation,2,Oct_12_16,Yes,Good,5
75,-0.028381348,Rat,activation,2,Oct_12_16,Yes,Good,5
80,-0.047912598,Rat,activation,2,Oct_12_16,Yes,Good,5
85,-0.052185059,Rat,activation,2,Oct_12_16,Yes,Good,5
90,-0.042114258,Rat,activation,2,Oct_12_16,Yes,Good,5
-80,-0.05859375,Rat,activation,2,Oct_12_16,Late,Good,5
-75,-0.057678223,Rat,activation,2,Oct_12_16,Late,Good,5
-70,-0.054626465,Rat,activation,2,Oct_12_16,Late,Good,5
-65,-0.040893555,Rat,activation,2,Oct_12_16,Late,Good,5
-60,-0.068664551,Rat,activation,2,Oct_12_16,Late,Good,5
-55,-0.080871582,Rat,activation,2,Oct_12_16,Late,Good,5
-50,-0.08605957,Rat,activation,2,Oct_12_16,Late,Good,5
-45,-0.177612305,Rat,activation,2,Oct_12_16,Late,Good,5
-40,-0.286865234,Rat,activation,2,Oct_12_16,Late,Good,5
-35,-0.42175293,Rat,activation,2,Oct_12_16,Late,Good,5
-30,-0.54901123,Rat,activation,2,Oct_12_16,Late,Good,5
-25,-0.666809082,Rat,activation,2,Oct_12_16,Late,Good,5
-20,-0.70526123,Rat,activation,2,Oct_12_16,Late,Good,5
-15,-0.803833008,Rat,activation,2,Oct_12_16,Late,Good,5
-10,-1.029663086,Rat,activation,2,Oct_12_16,Late,Good,5
-5,-1.273803711,Rat,activation,2,Oct_12_16,Late,Good,5
0,-1.376953125,Rat,activation,2,Oct_12_16,Late,Good,5
5,-1.361083984,Rat,activation,2,Oct_12_16,Late,Good,5
10,-1.289978027,Rat,activation,2,Oct_12_16,Late,Good,5
15,-1.180725098,Rat,activation,2,Oct_12_16,Late,Good,5
20,-1.08001709,Rat,activation,2,Oct_12_16,Late,Good,5
25,-0.933837891,Rat,activation,2,Oct_12_16,Late,Good,5
30,-0.827026367,Rat,activation,2,Oct_12_16,Late,Good,5
35,-0.7421875,Rat,activation,2,Oct_12_16,Late,Good,5
40,-0.616760254,Rat,activation,2,Oct_12_16,Late,Good,5
45,-0.475463867,Rat,activation,2,Oct_12_16,Late,Good,5
50,-0.302124023,Rat,activation,2,Oct_12_16,Late,Good,5
55,-0.146789551,Rat,activation,2,Oct_12_16,Late,Good,5
60,-0.056762695,Rat,activation,2,Oct_12_16,Late,Good,5
65,-0.048522949,Rat,activation,2,Oct_12_16,Late,Good,5
70,-0.021057129,Rat,activation,2,Oct_12_16,Late,Good,5
75,-0.048217773,Rat,activation,2,Oct_12_16,Late,Good,5
80,-0.049438477,Rat,activation,2,Oct_12_16,Late,Good,5
85,-0.029296875,Rat,activation,2,Oct_12_16,Late,Good,5
90,-0.015258789,Rat,activation,2,Oct_12_16,Late,Good,5
-80,-0.03692627,Rat,activation,3,Oct_12_16,No,Good,5
-75,-0.051574707,Rat,activation,3,Oct_12_16,No,Good,5
-70,-0.077209473,Rat,activation,3,Oct_12_16,No,Good,5
-65,-0.05859375,Rat,activation,3,Oct_12_16,No,Good,5
-60,-0.043029785,Rat,activation,3,Oct_12_16,No,Good,5
-55,-0.042724609,Rat,activation,3,Oct_12_16,No,Good,5
-50,-0.037841797,Rat,activation,3,Oct_12_16,No,Good,5
-45,-0.04699707,Rat,activation,3,Oct_12_16,No,Good,5
-40,-0.036010742,Rat,activation,3,Oct_12_16,No,Good,5
-35,-0.04486084,Rat,activation,3,Oct_12_16,No,Good,5
-30,-0.044555664,Rat,activation,3,Oct_12_16,No,Good,5
-25,-0.034790039,Rat,activation,3,Oct_12_16,No,Good,5
-20,-0.05859375,Rat,activation,3,Oct_12_16,No,Good,5
-15,-0.235595703,Rat,activation,3,Oct_12_16,No,Good,5
-10,-0.714111328,Rat,activation,3,Oct_12_16,No,Good,5
-5,-1.191711426,Rat,activation,3,Oct_12_16,No,Good,5
0,-1.414489746,Rat,activation,3,Oct_12_16,No,Good,5
5,-1.378173828,Rat,activation,3,Oct_12_16,No,Good,5
10,-1.246032715,Rat,activation,3,Oct_12_16,No,Good,5
15,-1.061706543,Rat,activation,3,Oct_12_16,No,Good,5
20,-0.870666504,Rat,activation,3,Oct_12_16,No,Good,5
25,-0.692138672,Rat,activation,3,Oct_12_16,No,Good,5
30,-0.469360352,Rat,activation,3,Oct_12_16,No,Good,5
35,-0.330810547,Rat,activation,3,Oct_12_16,No,Good,5
40,-0.160827637,Rat,activation,3,Oct_12_16,No,Good,5
45,-0.059204102,Rat,activation,3,Oct_12_16,No,Good,5
50,-0.067443848,Rat,activation,3,Oct_12_16,No,Good,5
55,-0.068969727,Rat,activation,3,Oct_12_16,No,Good,5
60,-0.042419434,Rat,activation,3,Oct_12_16,No,Good,5
65,-0.042724609,Rat,activation,3,Oct_12_16,No,Good,5
70,-0.079650879,Rat,activation,3,Oct_12_16,No,Good,5
75,-0.065612793,Rat,activation,3,Oct_12_16,No,Good,5
80,-0.078735352,Rat,activation,3,Oct_12_16,No,Good,5
85,-0.074157715,Rat,activation,3,Oct_12_16,No,Good,5
90,-0.067749023,Rat,activation,3,Oct_12_16,No,Good,5
-80,-0.071716309,Rat,activation,3,Oct_12_16,Yes,Good,5
-75,-0.036621094,Rat,activation,3,Oct_12_16,Yes,Good,5
-70,-0.033569336,Rat,activation,3,Oct_12_16,Yes,Good,5
-65,-0.049438477,Rat,activation,3,Oct_12_16,Yes,Good,5
-60,-0.050048828,Rat,activation,3,Oct_12_16,Yes,Good,5
-55,-0.049438477,Rat,activation,3,Oct_12_16,Yes,Good,5
-50,-0.057983398,Rat,activation,3,Oct_12_16,Yes,Good,5
-45,-0.052490234,Rat,activation,3,Oct_12_16,Yes,Good,5
-40,-0.068054199,Rat,activation,3,Oct_12_16,Yes,Good,5
-35,-0.094909668,Rat,activation,3,Oct_12_16,Yes,Good,5
-30,-0.129699707,Rat,activation,3,Oct_12_16,Yes,Good,5
-25,-0.127868652,Rat,activation,3,Oct_12_16,Yes,Good,5
-20,-0.179138184,Rat,activation,3,Oct_12_16,Yes,Good,5
-15,-0.280151367,Rat,activation,3,Oct_12_16,Yes,Good,5
-10,-0.469360352,Rat,activation,3,Oct_12_16,Yes,Good,5
-5,-0.750732422,Rat,activation,3,Oct_12_16,Yes,Good,5
0,-0.930480957,Rat,activation,3,Oct_12_16,Yes,Good,5
5,-0.908508301,Rat,activation,3,Oct_12_16,Yes,Good,5
10,-0.806274414,Rat,activation,3,Oct_12_16,Yes,Good,5
15,-0.71472168,Rat,activation,3,Oct_12_16,Yes,Good,5
20,-0.555114746,Rat,activation,3,Oct_12_16,Yes,Good,5
25,-0.425415039,Rat,activation,3,Oct_12_16,Yes,Good,5
30,-0.27923584,Rat,activation,3,Oct_12_16,Yes,Good,5
35,-0.195922852,Rat,activation,3,Oct_12_16,Yes,Good,5
40,-0.08972168,Rat,activation,3,Oct_12_16,Yes,Good,5
45,-0.056762695,Rat,activation,3,Oct_12_16,Yes,Good,5
50,-0.05645752,Rat,activation,3,Oct_12_16,Yes,Good,5
55,-0.08392334,Rat,activation,3,Oct_12_16,Yes,Good,5
60,-0.099182129,Rat,activation,3,Oct_12_16,Yes,Good,5
65,-0.054321289,Rat,activation,3,Oct_12_16,Yes,Good,5
70,-0.054626465,Rat,activation,3,Oct_12_16,Yes,Good,5
75,-0.061950684,Rat,activation,3,Oct_12_16,Yes,Good,5
80,-0.068664551,Rat,activation,3,Oct_12_16,Yes,Good,5
85,-0.07598877,Rat,activation,3,Oct_12_16,Yes,Good,5
90,-0.071105957,Rat,activation,3,Oct_12_16,Yes,Good,5
-80,-0.06652832,Rat,activation,3,Oct_12_16,Late,Good,5
