Voltage,Current,Species,Recording,replicate,Date,Venom,Quality,Set
15,-1.559753418,DiDiiiNC,activation,2,Aug_16_17,Late,Good,28
20,-1.364440918,DiDiiiNC,activation,2,Aug_16_17,Late,Good,28
25,-1.231384277,DiDiiiNC,activation,2,Aug_16_17,Late,Good,28
30,-1.055603027,DiDiiiNC,activation,2,Aug_16_17,Late,Good,28
35,-0.887451172,DiDiiiNC,activation,2,Aug_16_17,Late,Good,28
40,-0.769042969,DiDiiiNC,activation,2,Aug_16_17,Late,Good,28
45,-0.545349121,DiDiiiNC,activation,2,Aug_16_17,Late,Good,28
50,-0.328063965,DiDiiiNC,activation,2,Aug_16_17,Late,Good,28
55,-0.166625977,DiDiiiNC,activation,2,Aug_16_17,Late,Good,28
60,0.043029785,DiDiiiNC,activation,2,Aug_16_17,Late,Good,28
65,0.04699707,DiDiiiNC,activation,2,Aug_16_17,Late,Good,28
70,0.003356934,DiDiiiNC,activation,2,Aug_16_17,Late,Good,28
75,0.046081543,DiDiiiNC,activation,2,Aug_16_17,Late,Good,28
80,0.036315918,DiDiiiNC,activation,2,Aug_16_17,Late,Good,28
85,0.047607422,DiDiiiNC,activation,2,Aug_16_17,Late,Good,28
90,0.045776367,DiDiiiNC,activation,2,Aug_16_17,Late,Good,28
-80,-0.025634766,Gmouse,activation,2,Aug_16_17,No,Good,28
-75,-0.014038086,Gmouse,activation,2,Aug_16_17,No,Good,28
-70,-0.00579834,Gmouse,activation,2,Aug_16_17,No,Good,28
-65,-0.019226074,Gmouse,activation,2,Aug_16_17,No,Good,28
-60,-0.008239746,Gmouse,activation,2,Aug_16_17,No,Good,28
-55,-0.017089844,Gmouse,activation,2,Aug_16_17,No,Good,28
-50,-0.020141602,Gmouse,activation,2,Aug_16_17,No,Good,28
-45,-0.01953125,Gmouse,activation,2,Aug_16_17,No,Good,28
-40,-0.01373291,Gmouse,activation,2,Aug_16_17,No,Good,28
-35,-0.002746582,Gmouse,activation,2,Aug_16_17,No,Good,28
-30,-0.008239746,Gmouse,activation,2,Aug_16_17,No,Good,28
-25,-0.021362305,Gmouse,activation,2,Aug_16_17,No,Good,28
-20,-0.051574707,Gmouse,activation,2,Aug_16_17,No,Good,28
-15,-0.218505859,Gmouse,activation,2,Aug_16_17,No,Good,28
-10,-0.676879883,Gmouse,activation,2,Aug_16_17,No,Good,28
-5,-0.850219727,Gmouse,activation,2,Aug_16_17,No,Good,28
0,-0.908813477,Gmouse,activation,2,Aug_16_17,No,Good,28
5,-0.902404785,Gmouse,activation,2,Aug_16_17,No,Good,28
10,-0.85357666,Gmouse,activation,2,Aug_16_17,No,Good,28
15,-0.829162598,Gmouse,activation,2,Aug_16_17,No,Good,28
20,-0.818481445,Gmouse,activation,2,Aug_16_17,No,Good,28
25,-0.771179199,Gmouse,activation,2,Aug_16_17,No,Good,28
30,-0.751037598,Gmouse,activation,2,Aug_16_17,No,Good,28
35,-0.696105957,Gmouse,activation,2,Aug_16_17,No,Good,28
40,-0.668334961,Gmouse,activation,2,Aug_16_17,No,Good,28
45,-0.63079834,Gmouse,activation,2,Aug_16_17,No,Good,28
50,-0.594482422,Gmouse,activation,2,Aug_16_17,No,Good,28
55,-0.572814941,Gmouse,activation,2,Aug_16_17,No,Good,28
60,-0.570983887,Gmouse,activation,2,Aug_16_17,No,Good,28
65,-0.542297363,Gmouse,activation,2,Aug_16_17,No,Good,28
