Voltage,Current,Species,Recording,replicate,Date,Venom,Quality,Set,,
-60,-0.011901855,Gmouse,activation,1,Sept_15_17,Late,Good,32,,
-55,-0.033569336,Gmouse,activation,1,Sept_15_17,Late,Good,32,,
-50,-0.023193359,Gmouse,activation,1,Sept_15_17,Late,Good,32,,
-45,-0.050354004,Gmouse,activation,1,Sept_15_17,Late,Good,32,,
-40,-0.038146973,Gmouse,activation,1,Sept_15_17,Late,Good,32,,
-35,-0.046691895,Gmouse,activation,1,Sept_15_17,Late,Good,32,,
-30,-0.051879883,Gmouse,activation,1,Sept_15_17,Late,Good,32,,
-25,-0.092468262,Gmouse,activation,1,Sept_15_17,Late,Good,32,,
-20,-0.139465332,Gmouse,activation,1,Sept_15_17,Late,Good,32,,
-15,-0.386352539,Gmouse,activation,1,Sept_15_17,Late,Good,32,,
-10,-0.60760498,Gmouse,activation,1,Sept_15_17,Late,Good,32,,
-5,-0.715026855,Gmouse,activation,1,Sept_15_17,Late,Good,32,,
0,-0.765380859,Gmouse,activation,1,Sept_15_17,Late,Good,32,,
5,-0.736083984,Gmouse,activation,1,Sept_15_17,Late,Good,32,,
10,-0.723571777,Gmouse,activation,1,Sept_15_17,Late,Good,32,,
15,-0.66192627,Gmouse,activation,1,Sept_15_17,Late,Good,32,,
20,-0.63659668,Gmouse,activation,1,Sept_15_17,Late,Good,32,,
25,-0.584716797,Gmouse,activation,1,Sept_15_17,Late,Good,32,,
30,-0.521240234,Gmouse,activation,1,Sept_15_17,Late,Good,32,,
35,-0.46875,Gmouse,activation,1,Sept_15_17,Late,Good,32,,
40,-0.446472168,Gmouse,activation,1,Sept_15_17,Late,Good,32,,
45,-0.389709473,Gmouse,activation,1,Sept_15_17,Late,Good,32,,
50,-0.34942627,Gmouse,activation,1,Sept_15_17,Late,Good,32,,
55,-0.313110352,Gmouse,activation,1,Sept_15_17,Late,Good,32,,
60,-0.272827148,Gmouse,activation,1,Sept_15_17,Late,Good,32,,
65,-0.245361328,Gmouse,activation,1,Sept_15_17,Late,Good,32,,
70,-0.198059082,Gmouse,activation,1,Sept_15_17,Late,Good,32,,
75,-0.180358887,Gmouse,activation,1,Sept_15_17,Late,Good,32,,
80,-0.132141113,Gmouse,activation,1,Sept_15_17,Late,Good,32,,
85,-0.063171387,Gmouse,activation,1,Sept_15_17,Late,Good,32,,
90,-0.054931641,Gmouse,activation,1,Sept_15_17,Late,Good,32,,
-80,-0.018615723,NoC,activation,2,Sept_15_17,No,Good,32,,
-75,-0.008544922,NoC,activation,2,Sept_15_17,No,Good,32,,
-70,-0.006103516,NoC,activation,2,Sept_15_17,No,Good,32,,
-65,-0.010070801,NoC,activation,2,Sept_15_17,No,Good,32,,
-60,-0.016784668,NoC,activation,2,Sept_15_17,No,Good,32,,
-55,-0.014953613,NoC,activation,2,Sept_15_17,No,Good,32,,
-50,0.001831055,NoC,activation,2,Sept_15_17,No,Good,32,,
-45,-0.008239746,NoC,activation,2,Sept_15_17,No,Good,32,,
-40,-0.019226074,NoC,activation,2,Sept_15_17,No,Good,32,,
-35,-0.00213623,NoC,activation,2,Sept_15_17,No,Good,32,,
-30,-0.00579834,NoC,activation,2,Sept_15_17,No,Good,32,,
-25,-0.030517578,NoC,activation,2,Sept_15_17,No,Good,32,,
