Voltage,Current,Species,Recording,replicate,Date,Venom,Set
85,-0.27557373,Gmouse,activation,1,Dec_29_17,No,40
90,-0.191650391,Gmouse,activation,1,Dec_29_17,No,40
-80,-0.055847168,Gmouse,activation,1,Dec_29_17,Yes,40
-75,-0.055847168,Gmouse,activation,1,Dec_29_17,Yes,40
-70,-0.035095215,Gmouse,activation,1,Dec_29_17,Yes,40
-65,-0.023498535,Gmouse,activation,1,Dec_29_17,Yes,40
-60,-0.071411133,Gmouse,activation,1,Dec_29_17,Yes,40
-55,-0.027770996,Gmouse,activation,1,Dec_29_17,Yes,40
-50,-0.014038086,Gmouse,activation,1,Dec_29_17,Yes,40
-45,-0.038146973,Gmouse,activation,1,Dec_29_17,Yes,40
-40,-0.050964355,Gmouse,activation,1,Dec_29_17,Yes,40
-35,-0.084228516,Gmouse,activation,1,Dec_29_17,Yes,40
-30,-0.146789551,Gmouse,activation,1,Dec_29_17,Yes,40
-25,-0.128173828,Gmouse,activation,1,Dec_29_17,Yes,40
-20,-0.159606934,Gmouse,activation,1,Dec_29_17,Yes,40
-15,-0.327453613,Gmouse,activation,1,Dec_29_17,Yes,40
-10,-0.678100586,Gmouse,activation,1,Dec_29_17,Yes,40
-5,-1.261291504,Gmouse,activation,1,Dec_29_17,Yes,40
0,-1.67755127,Gmouse,activation,1,Dec_29_17,Yes,40
5,-1.868896484,Gmouse,activation,1,Dec_29_17,Yes,40
10,-1.89453125,Gmouse,activation,1,Dec_29_17,Yes,40
15,-1.807250977,Gmouse,activation,1,Dec_29_17,Yes,40
20,-1.740112305,Gmouse,activation,1,Dec_29_17,Yes,40
25,-1.651611328,Gmouse,activation,1,Dec_29_17,Yes,40
30,-1.485290527,Gmouse,activation,1,Dec_29_17,Yes,40
35,-1.361083984,Gmouse,activation,1,Dec_29_17,Yes,40
40,-1.276855469,Gmouse,activation,1,Dec_29_17,Yes,40
45,-1.127624512,Gmouse,activation,1,Dec_29_17,Yes,40
50,-1.055603027,Gmouse,activation,1,Dec_29_17,Yes,40
55,-0.897216797,Gmouse,activation,1,Dec_29_17,Yes,40
60,-0.778198242,Gmouse,activation,1,Dec_29_17,Yes,40
65,-0.632324219,Gmouse,activation,1,Dec_29_17,Yes,40
70,-0.478820801,Gmouse,activation,1,Dec_29_17,Yes,40
75,-0.361938477,Gmouse,activation,1,Dec_29_17,Yes,40
80,-0.248413086,Gmouse,activation,1,Dec_29_17,Yes,40
85,-0.156555176,Gmouse,activation,1,Dec_29_17,Yes,40
90,-0.049133301,Gmouse,activation,1,Dec_29_17,Yes,40
-80,-0.01373291,Gmouse,activation,1,Dec_29_17,Late,40
-75,-0.057067871,Gmouse,activation,1,Dec_29_17,Late,40
-70,-0.014953613,Gmouse,activation,1,Dec_29_17,Late,40
-65,-0.02746582,Gmouse,activation,1,Dec_29_17,Late,40
-60,-0.075683594,Gmouse,activation,1,Dec_29_17,Late,40
-55,-0.05065918,Gmouse,activation,1,Dec_29_17,Late,40
-50,-0.055236816,Gmouse,activation,1,Dec_29_17,Late,40
-45,-0.060119629,Gmouse,activation,1,Dec_29_17,Late,40
-40,-0.086669922,Gmouse,activation,1,Dec_29_17,Late,40
-35,-0.086975098,Gmouse,activation,1,Dec_29_17,Late,40
-30,-0.095825195,Gmouse,activation,1,Dec_29_17,Late,40
-25,-0.182495117,Gmouse,activation,1,Dec_29_17,Late,40
-20,-0.217590332,Gmouse,activation,1,Dec_29_17,Late,40
-15,-0.329589844,Gmouse,activation,1,Dec_29_17,Late,40
-10,-0.76965332,Gmouse,activation,1,Dec_29_17,Late,40
-5,-1.412353516,Gmouse,activation,1,Dec_29_17,Late,40
0,-1.791992188,Gmouse,activation,1,Dec_29_17,Late,40
5,-1.943359375,Gmouse,activation,1,Dec_29_17,Late,40
10,-1.98425293,Gmouse,activation,1,Dec_29_17,Late,40
15,-1.949768066,Gmouse,activation,1,Dec_29_17,Late,40
20,-1.824645996,Gmouse,activation,1,Dec_29_17,Late,40
25,-1.720581055,Gmouse,activation,1,Dec_29_17,Late,40
30,-1.606140137,Gmouse,activation,1,Dec_29_17,Late,40
35,-1.452331543,Gmouse,activation,1,Dec_29_17,Late,40
40,-1.31072998,Gmouse,activation,1,Dec_29_17,Late,40
45,-1.14654541,Gmouse,activation,1,Dec_29_17,Late,40
50,-0.999450684,Gmouse,activation,1,Dec_29_17,Late,40
55,-0.821228027,Gmouse,activation,1,Dec_29_17,Late,40
60,-0.673828125,Gmouse,activation,1,Dec_29_17,Late,40
65,-0.494384766,Gmouse,activation,1,Dec_29_17,Late,40
70,-0.319519043,Gmouse,activation,1,Dec_29_17,Late,40
75,-0.219421387,Gmouse,activation,1,Dec_29_17,Late,40
80,-0.09552002,Gmouse,activation,1,Dec_29_17,Late,40
85,-0.018920898,Gmouse,activation,1,Dec_29_17,Late,40
90,0.038452148,Gmouse,activation,1,Dec_29_17,Late,40
-80,-0.012207031,Di,activation,2,Dec_29_17,No,40
-75,-0.036621094,Di,activation,2,Dec_29_17,No,40
-70,-0.02166748,Di,activation,2,Dec_29_17,No,40
-65,-0.029296875,Di,activation,2,Dec_29_17,No,40
-60,-0.005493164,Di,activation,2,Dec_29_17,No,40
-55,-0.018615723,Di,activation,2,Dec_29_17,No,40
-50,-0.014953613,Di,activation,2,Dec_29_17,No,40
-45,-0.017700195,Di,activation,2,Dec_29_17,No,40
-40,0.000305176,Di,activation,2,Dec_29_17,No,40
-35,-0.015563965,Di,activation,2,Dec_29_17,No,40
-30,0.002441406,Di,activation,2,Dec_29_17,No,40
-25,-0.018920898,Di,activation,2,Dec_29_17,No,40
-20,-0.101928711,Di,activation,2,Dec_29_17,No,40
-15,-0.278930664,Di,activation,2,Dec_29_17,No,40
-10,-1.228637695,Di,activation,2,Dec_29_17,No,40
-5,-2.481384277,Di,activation,2,Dec_29_17,No,40
0,-2.802734375,Di,activation,2,Dec_29_17,No,40
5,-2.78717041,Di,activation,2,Dec_29_17,No,40
10,-2.643127441,Di,activation,2,Dec_29_17,No,40
15,-2.468566895,Di,activation,2,Dec_29_17,No,40
20,-2.272949219,Di,activation,2,Dec_29_17,No,40
25,-2.048339844,Di,activation,2,Dec_29_17,No,40
30,-1.849975586,Di,activation,2,Dec_29_17,No,40
35,-1.634216309,Di,activation,2,Dec_29_17,No,40
40,-1.494750977,Di,activation,2,Dec_29_17,No,40
45,-1.287841797,Di,activation,2,Dec_29_17,No,40
50,-1.112060547,Di,activation,2,Dec_29_17,No,40
55,-0.886230469,Di,activation,2,Dec_29_17,No,40
60,-0.697631836,Di,activation,2,Dec_29_17,No,40
65,-0.503540039,Di,activation,2,Dec_29_17,No,40
70,-0.308532715,Di,activation,2,Dec_29_17,No,40
75,-0.164794922,Di,activation,2,Dec_29_17,No,40
80,-0.000305176,Di,activation,2,Dec_29_17,No,40
85,0.076599121,Di,activation,2,Dec_29_17,No,40
90,0.076599121,Di,activation,2,Dec_29_17,No,40
-80,-0.042114258,Di,activation,2,Dec_29_17,Yes,40
-75,-0.025024414,Di,activation,2,Dec_29_17,Yes,40
-70,-0.034179688,Di,activation,2,Dec_29_17,Yes,40
-65,-0.016784668,Di,activation,2,Dec_29_17,Yes,40
-60,-0.040588379,Di,activation,2,Dec_29_17,Yes,40
-55,-0.029602051,Di,activation,2,Dec_29_17,Yes,40
-50,-0.047912598,Di,activation,2,Dec_29_17,Yes,40
-45,-0.06439209,Di,activation,2,Dec_29_17,Yes,40
-40,-0.09765625,Di,activation,2,Dec_29_17,Yes,40
-35,-0.133361816,Di,activation,2,Dec_29_17,Yes,40
-30,-0.154724121,Di,activation,2,Dec_29_17,Yes,40
-25,-0.204772949,Di,activation,2,Dec_29_17,Yes,40
-20,-0.272827148,Di,activation,2,Dec_29_17,Yes,40
-15,-0.49621582,Di,activation,2,Dec_29_17,Yes,40
-10,-1.196594238,Di,activation,2,Dec_29_17,Yes,40
-5,-2.111816406,Di,activation,2,Dec_29_17,Yes,40
0,-2.366638184,Di,activation,2,Dec_29_17,Yes,40
5,-2.366027832,Di,activation,2,Dec_29_17,Yes,40
10,-2.209777832,Di,activation,2,Dec_29_17,Yes,40
15,-2.062683105,Di,activation,2,Dec_29_17,Yes,40
20,-1.829223633,Di,activation,2,Dec_29_17,Yes,40
25,-1.662902832,Di,activation,2,Dec_29_17,Yes,40
30,-1.486206055,Di,activation,2,Dec_29_17,Yes,40
35,-1.285095215,Di,activation,2,Dec_29_17,Yes,40
40,-1.125183105,Di,activation,2,Dec_29_17,Yes,40
45,-0.989379883,Di,activation,2,Dec_29_17,Yes,40
50,-0.848693848,Di,activation,2,Dec_29_17,Yes,40
55,-0.674743652,Di,activation,2,Dec_29_17,Yes,40
60,-0.555725098,Di,activation,2,Dec_29_17,Yes,40
65,-0.36529541,Di,activation,2,Dec_29_17,Yes,40
70,-0.178527832,Di,activation,2,Dec_29_17,Yes,40
75,-0.080566406,Di,activation,2,Dec_29_17,Yes,40
80,0.014648438,Di,activation,2,Dec_29_17,Yes,40
85,0.023498535,Di,activation,2,Dec_29_17,Yes,40
90,0.037536621,Di,activation,2,Dec_29_17,Yes,40
-80,-0.039367676,Di,activation,2,Dec_29_17,Late,40
-75,-0.035400391,Di,activation,2,Dec_29_17,Late,40
-70,-0.043334961,Di,activation,2,Dec_29_17,Late,40
-65,-0.061340332,Di,activation,2,Dec_29_17,Late,40
-60,-0.02532959,Di,activation,2,Dec_29_17,Late,40
-55,-0.032043457,Di,activation,2,Dec_29_17,Late,40
-50,-0.039367676,Di,activation,2,Dec_29_17,Late,40
-45,-0.043334961,Di,activation,2,Dec_29_17,Late,40
-40,-0.098876953,Di,activation,2,Dec_29_17,Late,40
-35,-0.140380859,Di,activation,2,Dec_29_17,Late,40
-30,-0.191955566,Di,activation,2,Dec_29_17,Late,40
-25,-0.233459473,Di,activation,2,Dec_29_17,Late,40
-20,-0.356140137,Di,activation,2,Dec_29_17,Late,40
-15,-0.606384277,Di,activation,2,Dec_29_17,Late,40
-10,-1.372375488,Di,activation,2,Dec_29_17,Late,40
-5,-2.123718262,Di,activation,2,Dec_29_17,Late,40
0,-2.376098633,Di,activation,2,Dec_29_17,Late,40
5,-2.330932617,Di,activation,2,Dec_29_17,Late,40
10,-2.225036621,Di,activation,2,Dec_29_17,Late,40
15,-2.068786621,Di,activation,2,Dec_29_17,Late,40
20,-1.8359375,Di,activation,2,Dec_29_17,Late,40
25,-1.605224609,Di,activation,2,Dec_29_17,Late,40
30,-1.469116211,Di,activation,2,Dec_29_17,Late,40
35,-1.256713867,Di,activation,2,Dec_29_17,Late,40
40,-1.070556641,Di,activation,2,Dec_29_17,Late,40
45,-0.862121582,Di,activation,2,Dec_29_17,Late,40
50,-0.704040527,Di,activation,2,Dec_29_17,Late,40
55,-0.462036133,Di,activation,2,Dec_29_17,Late,40
60,-0.32043457,Di,activation,2,Dec_29_17,Late,40
65,-0.144042969,Di,activation,2,Dec_29_17,Late,40
70,0.023803711,Di,activation,2,Dec_29_17,Late,40
75,0.045166016,Di,activation,2,Dec_29_17,Late,40
80,0.07019043,Di,activation,2,Dec_29_17,Late,40
85,0.040283203,Di,activation,2,Dec_29_17,Late,40
90,0.083007813,Di,activation,2,Dec_29_17,Late,40
-80,-0.01739502,Gmouse,activation,2,Dec_29_17,No,40
